"X..Population.25.Years.and.Over..Less.than.High.School","X..Population.25.Years.and.Over..High.School.Graduate..Includes.Equivalency.","X..Population.25.Years.and.Over..Some.College","X..Population.25.Years.and.Over..Bachelor.s.Degree","X..Population.25.Years.and.Over..Master.s.Degree","X..Population.25.Years.and.Over..Professional.School.Degree","X..Population.25.Years.and.Over..Doctorate.Degree","Vacant.Housing.Units.","X..Vacant.Housing.Units..for.Rent","X..Vacant.Housing.Units..for.Sale.Only","X..Vacant.Housing.Units..Other.Vacant","Average.Gross.Rent.for.Renter.Occupied.Housing.Units","Population.for.Whom.Poverty.Status.Is.Determined","Total.Population","Median.Age.","X..Total.Population..Not.Hispanic.or.Latino","X..Total.Population..Not.Hispanic.or.Latino..White.Alone","X..Total.Population..Not.Hispanic.or.Latino..Black.or.African.American.Alone","X..Total.Population..Not.Hispanic.or.Latino..American.Indian.and.Alaska.Native.Alone","X..Total.Population..Not.Hispanic.or.Latino..Asian.Alone","X..Total.Population..Not.Hispanic.or.Latino..Native.Hawaiian.and.Other.Pacific.Islander.Alone","X..Total.Population..Not.Hispanic.or.Latino..Some.Other.Race.Alone","X..Total.Population..Not.Hispanic.or.Latino..Two.or.More.Races","Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Employed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","Per.Capita.Income..In.2019.Inflation.Adjusted.Dollars.","Gini.Index","LG.li","meidan_income","GEOID","counts","LG.li.1","spatial"
13.9,33.26,18.4,18.63,11.75,2.29,1.77,6,0,100,0,1379.746835,1837,"1837","45.8","97.33","68.1","0","0","26.51","1.2","0","1.52","55","94.31","5.69","46329","0.4989","-1.98270806856385","102000",36047020400,"24","-1.98270806856385","Uncluster"
4.17,8.46,11.36,39.97,28.32,4.94,2.78,111,26.13,0,73.87,2230.480167,3128,"3128","35.4","97.15","54.19","15.79","0.38","15.7","0","1.15","9.94","90","95.88","4.12","64354","0.4346","-0.989774736751115","123274",36047020500,"67","-0.989774736751115","Uncluster"
20.49,19.97,14.97,32.56,8.82,2.9,0.29,79,65.82,0,34.18,1594.303797,2311,"2311","45.6","86.98","58.29","0.48","0","27.09","0","0","1.13","41","96.58","3.42","45101","0.4501","-1.93480035426046","101449",36047020600,"42","-1.93480035426046","Uncluster"
5.65,8.51,8.27,31.86,34.19,6.13,5.39,53,100,0,0,1892.02088,4726,"4726","37.6","84.17","58.95","15.55","0","4.02","0","0.28","5.37","56","98.14","1.86","77094","0.484","-0.854240810153531","119462",36047020700,"45","-0.854240810153531","Uncluster"
22.82,27.16,17.94,22.82,8.42,0.4,0.44,41,0,0,100,1332.918149,3086,"3092","41.3","95.47","29.37","2.55","0","56.37","0","0","7.18","47","96.73","3.27","26401","0.46","-2.15314983175486","62432",36047020800,"50","-2.15314983175486","Uncluster"
35.33,26.43,11.6,20.61,4.03,2,0,99,18.18,0,81.82,1336.437718,3967,"3967","38.1","87.8","28.06","0.88","0","55.71","0","0.23","2.92","65","96.45","3.55","23865","0.4632","-1.62846069704419","56875",36047021000,"60","-1.62846069704419","Uncluster"
13.2,23.5,28.68,24.26,6.89,3.47,0,76,23.68,11.84,64.47,1217.048346,2186,"2206","33.2","65.14","17.72","41.52","0","3.99","0","0.23","1.68","78","93.3","6.7","33098","0.5229","2.26460578007929","49679",36047021100,"84","2.26460578007929","Cluster"
43.1,30.35,8.13,13.77,3.24,1.15,0.26,145,22.07,0,77.93,1448.645465,4292,"4334","37.5","85.07","21.78","0","0","62.6","0","0","0.69","245","89.39","10.61","20837","0.4695","-1.62590786656738","44967",36047021200,"88","-1.62590786656738","Uncluster"
8.52,22.56,30.04,19.58,16.22,2.23,0.85,76,57.89,0,42.11,1523.632611,4113,"4113","36.7","92.68","18.38","70.22","0","0.88","0","0","3.21","229","91.18","8.82","34775","0.4587","0.181671749624753","52885",36047021300,"170","0.181671749624753","Uncluster"
38.16,33.95,15.16,8.42,2.7,1.6,0,54,46.3,0,53.7,1332.492114,2181,"2187","26.7","87.56","52.72","0","0","34.84","0","0","0","16","98.26","1.74","19737","0.4801","-1.62183930218635","57875",36047021400,"40","-1.62183930218635","Uncluster"
13.13,13.31,11.9,25.63,21.49,8.88,5.66,204,33.33,0,66.67,1670.396684,5638,"5638","39.1","93.65","40.55","35.93","0.39","6.65","0","0.44","9.68","263","92.43","7.57","56522","0.526","-0.478615201265242","86534",36047021500,"128","-0.478615201265242","Uncluster"
21.85,36.28,16.47,17.55,6.03,1.83,0,62,0,51.61,48.39,1557.644991,3931,"4022","22.7","88.51","80.83","0","0","7.68","0","0","0","85","94.01","5.99","19489","0.522","-2.07203495052044","48716",36047021600,"28","-2.07203495052044","Uncluster"
13.7,19.83,15.17,28.68,14.38,7.04,1.2,118,11.86,0,88.14,1271.221532,3733,"3733","34.3","81.81","21.97","47.04","0","6.86","0","1.21","4.74","122","94.43","5.57","38184","0.509","-0.00113496818363427","61466",36047021700,"131","-0.00113496818363427","Uncluster"
29.85,43.04,10.12,9.41,4.05,1.11,2.42,127,33.07,0,66.93,1461.22449,3128,"3128","22.9","92.68","88.08","0","0","4.6","0","0","0","16","98.22","1.78","19627","0.6089","-2.07775886096139","31047",36047021800,"38","-2.07775886096139","Uncluster"
11.51,24.98,15.53,26.5,16.55,4.2,0.72,246,28.46,0,71.54,1781.456456,3557,"3557","34","92.02","28.59","54.17","0","7.45","0","0","1.8","57","97.35","2.65","49024","0.517","-0.0180008284614518","72440",36047021900,"132","-0.0180008284614518","Uncluster"
32.62,35.54,17.72,5.74,5.84,1.17,1.36,119,22.69,0,77.31,1365.005794,4742,"4776","19.8","96.75","79.9","5.36","0","6.2","0","5.3","0","100","93","7","10959","0.4569","-1.93990601521407","32088",36047022000,"82","-1.93990601521407","Uncluster"
17.03,17.76,17.44,29.75,14.41,3.6,0,210,23.81,0,76.19,1549.669846,3969,"3976","33.3","88.13","36.7","43.36","0","4.9","0","1.53","1.63","160","93.52","6.48","47098","0.5941","0.472518785364089","54898",36047022100,"112","0.472518785364089","Uncluster"
18.15,47.24,12.69,14.39,5.22,2.31,0,155,0,0,100,1353.604194,4008,"4008","18.9","96.46","93.44","0","0","3.02","0","0","0","28","97.42","2.58","16002","0.5863","-1.6245677606611","33088",36047022200,"78","-1.6245677606611","Uncluster"
25.68,34.57,13.3,16.57,7.94,0.8,1.14,54,0,0,100,1511.786717,5785,"5785","22.1","89.11","72.26","0.12","0","16.73","0","0","0","45","97.97","2.03","14696","0.396","-1.67913693015614","47995",36047022400,"43","-1.67913693015614","Uncluster"
32.74,40,12.38,9.32,5.55,0,0,17,0,0,100,1496.828753,2233,"2233","29.3","58.13","40.26","2.6","0","11.55","0","2.51","1.21","71","93.74","6.26","16082","0.4186","-1.88629657520122","46611",36047022600,"63","-1.88629657520122","Uncluster"
9.12,15.19,15.19,35.92,18.86,4.97,0.75,381,25.46,8.92,65.62,1903.867849,3792,"3794","34","92.99","38.11","42.54","0","4.72","0.26","0.32","7.04","156","93.83","6.17","61846","0.4951","-0.056313575214762","95882",36047022700,"289","-0.056313575214762","Uncluster"
28.87,27.16,23.46,13.82,5.82,0.88,0,71,73.24,0,26.76,1258.974359,3537,"3627","23.8","91.89","65.45","2.98","0","20.93","0","0","2.54","62","94.9","5.1","16488","0.5127","-1.37575178858337","35985",36047022800,"34","-1.37575178858337","Uncluster"
9.81,10.95,13.68,42.04,15.39,5.4,2.74,157,28.03,0,71.97,2095.621019,3668,"3675","33.8","92.3","41.47","40.82","0","7.97","0","0.24","1.8","140","94.17","5.83","50626","0.4674","0.489312896987737","83043",36047022900,"89","0.489312896987737","Uncluster"
26.73,41.29,13.34,13.45,5.19,0,0,80,11.25,0,88.75,1193.659942,4251,"4251","18.5","89.84","84","2.09","0","3.53","0","0","0.21","51","96.32","3.68","14204","0.444","-1.77940717866747","43459",36047023000,"38","-1.77940717866747","Uncluster"
10.1,14.67,18.33,38.74,16.47,1.34,0.35,90,0,0,100,1807.007576,3694,"3696","36.8","85.98","41.07","33.23","0","3.92","0","2.57","5.19","65","97.22","2.78","52780","0.4684","0.24442629454405","91047",36047023100,"104","0.24442629454405","Uncluster"
25.2,49.96,13.29,8.25,2.8,0.49,0,170,12.94,13.53,73.53,1319.560185,5533,"5561","20.7","86.84","80.35","0","0.5","5.34","0","0","0.65","53","97.02","2.98","13980","0.5413","-1.96562507000511","38818",36047023200,"40","-1.96562507000511","Uncluster"
13.83,22.76,18.58,26.75,15.13,2.16,0.81,40,65,0,35,1471.636575,5864,"5884","30.1","81.51","29.11","42.68","0","6.02","0","0","3.7","289","91.77","8.23","42269","0.5825","0.0616195767356626","57721",36047023300,"268","0.0616195767356626","Uncluster"
28.31,33.77,20.54,9.38,5.52,2.01,0.46,305,25.25,6.89,67.87,1583.914729,4512,"4563","20","95.79","94.96","0.28","0.33","0.22","0","0","0","56","95.74","4.26","11280","0.4361","-2.05566419967192","32237",36047023400,"24","-2.05566419967192","Uncluster"
19.26,19.42,18.55,22.82,15.47,2.88,1.6,139,37.41,0,62.59,1868.788683,4694,"4694","26.2","79.36","60.4","14.25","0","2.98","0","0.49","1.24","55","97.52","2.48","32249","0.5324","0.459848999901306","61607",36047023500,"120","0.459848999901306","Uncluster"
25.44,45.01,15.63,7.44,5.04,1.44,0,161,31.06,0,68.94,1514.963504,5549,"5549","21.4","98.81","93.17","0","0.81","3.73","0","0","1.1","78","95.39","4.61","10295","0.4831","-2.23028554205605","26855",36047023600,"28","-2.23028554205605","Uncluster"
19.45,36.02,17.58,15.72,8.61,2.62,0,163,0,0,100,1357.692308,3634,"3634","28.3","97.66","95.29","0","0","0","0","0","2.37","70","94.95","5.05","19511","0.485","-2.38920417913127","33780",36047023800,"31","-2.38920417913127","Uncluster"
34.29,30.1,13.57,8.22,12.34,1.48,0,115,0,0,100,1387.840671,4745,"4823","23.3","89.76","88.02","0.75","0","0.12","0","0.87","0","69","95.44","4.56","14209","0.48","-1.99018119627787","39034",36047024000,"20","-1.99018119627787","Uncluster"
21.99,15.96,17.68,24.28,16.36,3.21,0.52,162,13.58,0,86.42,2080.266344,2658,"2765","29.4","75.44","56.78","13.45","0","2.46","0","0","2.75","130","91.91","8.09","32599","0.4965","1.36345662176808","61192",36047024100,"196","1.36345662176808","Uncluster"
25.88,38.96,19.81,9.54,4.67,0.33,0.8,87,0,0,100,1511.013216,2868,"2868","26.4","95.61","88.84","0","0","6.76","0","0","0","75","93.27","6.73","23977","0.4879","-1.79918910304523","63698",36047024200,"119","-1.79918910304523","Uncluster"
18.03,18.97,14,33.03,12.53,1.97,1.47,256,38.28,14.84,46.88,1341.414141,4095,"4122","33.8","88.69","32.58","49.64","0","3.11","0","0","3.37","257","89.26","10.74","40926","0.5485","0.589948987296994","59779",36047024300,"132","0.589948987296994","Uncluster"
21.44,37.9,20.76,13.13,5.62,1.15,0,125,9.6,8.8,81.6,1587.149533,3564,"3609","23.4","91.83","79.36","0.19","0","11.22","0.28","0","0.78","51","95.84","4.16","20048","0.457","-1.66449798003039","68516",36047024400,"42","-1.66449798003039","Uncluster"
12.36,16.38,21.41,33.74,14.09,1.49,0.54,253,46.25,9.49,44.27,1662.874712,4491,"4491","34.3","92.83","27.25","55.02","0","8.97","0","0","1.58","109","96.01","3.99","43533","0.437","0.828316408140987","85169",36047024500,"181","0.828316408140987","Uncluster"
27.25,28.47,17.57,17.35,7.41,1.22,0.74,62,17.74,0,82.26,1341.598361,2879,"2880","34.9","86.11","53.54","0.73","0","31.15","0","0","0.69","99","92.11","7.89","23148","0.4569","-2.00883243808773","51354",36047024600,"59","-2.00883243808773","Uncluster"
15.23,26.99,25.4,23.2,7.15,1.32,0.71,87,43.68,0,56.32,1595.060484,2664,"2672","30.4","91.99","20.13","57.67","0.56","6.74","0","5.01","1.87","100","93.17","6.83","24458","0.4796","0.975704385076417","46518",36047024700,"213","0.975704385076417","Uncluster"
34.79,24.7,19.51,17.66,2.45,0.89,0,88,29.55,0,70.45,1320.704846,2653,"2653","32.5","81.76","36.11","0.19","0.98","40.9","0","2.64","0.94","42","96.41","3.59","22315","0.4499","-1.36809266403441","49940",36047024800,"73","-1.36809266403441","Uncluster"
7.53,19.53,18.8,35.33,15.86,1.61,1.33,161,15.53,0,84.47,1618.565401,4008,"4018","34.6","91.51","33.37","52.66","0.35","2.44","0","0","2.69","196","93.02","6.98","44807","0.479","0.69716786732269","70268",36047024900,"217","0.69716786732269","Uncluster"
44.75,26.08,9.99,12.34,6.25,0,0.59,36,0,0,100,1458.490566,1848,"1853","43.8","78.85","12.14","0","0","65.95","0","0","0.76","51","95.19","4.81","21108","0.4415","-1.37062481888716","53186",36047025000,"52","-1.37062481888716","Uncluster"
20.61,23.18,18,26.73,8.44,2.39,0.65,116,56.03,0,43.97,1369.253956,3741,"3741","32.1","84.98","23.42","55.81","0","2.43","0","0.45","2.86","181","90.6","9.4","39386","0.6285","1.0583077643697","39474",36047025100,"229","1.0583077643697","Uncluster"
24.6,25.6,17.94,22.86,7.86,1.01,0.14,122,44.26,0,55.74,1380.709534,5277,"5299","35.9","79.62","35.18","2.38","0.91","39.71","0","0","1.45","376","86.26","13.74","22329","0.3736","-1.43903258437796","60173",36047025200,"132","-1.43903258437796","Uncluster"
8.43,27.39,19.62,24.8,13.74,4.61,1.4,202,18.32,0,81.68,1665.279188,3496,"3496","30.6","85.73","30.29","49.86","0","4.46","0","0","1.12","170","91.46","8.54","28893","0.4727","1.38232398969651","55417",36047025300,"115","1.38232398969651","Uncluster"
29.78,23.2,19.17,22.21,5.47,0.16,0,65,41.54,0,58.46,1100.671141,3406,"3413","37.8","94.2","39.58","0","0.64","51.6","0","0","2.37","162","89.47","10.53","24742","0.5696","-1.48550219034326","44886",36047025400,"68","-1.48550219034326","Uncluster"
36.15,25.36,16.7,16.97,2.71,2.12,0,93,0,0,100,1449.78355,3190,"3199","36","94.25","23.07","1.69","0","65.24","0","0","4.25","125","91.01","8.99","17426","0.4333","-1.09747195786931","51625",36047025600,"79","-1.09747195786931","Uncluster"
19.16,28.9,18.45,25.94,6.32,0.77,0.45,124,23.39,0,76.61,1710.120069,2470,"2476","29.1","56.06","26.78","25.2","0","1.33","0","0","2.75","103","92.69","7.31","28535","0.464","0.165166259000725","69074",36047025700,"157","0.165166259000725","Uncluster"
32.97,22.05,14.68,21.63,7.34,1.33,0,31,74.19,0,25.81,1351.045296,4331,"4354","35.9","81.26","42.49","0.02","0","38.75","0","0","0","147","93.35","6.65","23124","0.454","-0.956570716346623","50625",36047025800,"167","-0.956570716346623","Uncluster"
21.06,25.7,13.02,29.11,9.2,1.16,0.75,82,6.1,0,93.9,1729.353234,2257,"2257","28.7","67.97","28.18","35.67","0","1.64","0","0","2.48","142","89.68","10.32","31602","0.5395","0.972873558817336","59762",36047025901,"77","0.972873558817336","Uncluster"
33.46,28.87,12.48,18.83,4.04,1.96,0.35,87,32.18,0,67.82,1450.396825,3214,"3214","46.9","93.62","34.6","0","0","55.41","0","2.43","1.18","82","94.54","5.46","27187","0.4603","-1.06796223181168","48214",36047026000,"80","-1.06796223181168","Uncluster"
13.78,18.15,30.71,27.33,8.9,1.13,0,254,9.84,0,90.16,1503.645833,4495,"4497","32.6","69.25","19.92","43.81","0","2.51","0","0","3","119","95.44","4.56","33566","0.4837","0.883524492129256","51885",36047026100,"214","0.883524492129256","Uncluster"
27.46,22.15,19.1,24.25,5.54,0.61,0.89,60,0,0,100,1325.935162,2425,"2425","43.2","85.9","30.76","2.23","0","50.72","0","0","2.19","79","93.62","6.38","32131","0.4665","-1.3517219131859","65577",36047026200,"35","-1.3517219131859","Uncluster"
6.83,26.62,23.76,30.66,9.34,2.79,0,106,53.77,0,46.23,1517.283951,2007,"2015","30.7","89.18","23.92","60.4","0","3.13","0.35","0","1.39","128","89.32","10.68","29173","0.5277","1.12298992341421","41875",36047026300,"310","1.12298992341421","Uncluster"
35.91,24.98,19.32,12.55,6.34,0.89,0,129,42.64,0,57.36,1342.456719,4587,"4594","36.3","78.25","27.64","2.39","0.96","46.41","0","0","0.85","143","94.22","5.78","24038","0.4424","-1.80889313291992","48942",36047026400,"106","-1.80889313291992","Uncluster"
18.27,25.9,20.29,19.54,11.98,1.3,2.73,237,7.59,8.44,83.97,1516.602687,4075,"4118","35.4","78.9","21.3","53.45","0.78","2.11","0","0","1.26","137","94.18","5.82","46064","0.5803","1.01385158442413","70707",36047026500,"191","1.01385158442413","Uncluster"
41.03,20.05,13.97,21.09,3.14,0.5,0.23,95,18.95,27.37,53.68,1317.922948,3517,"3517","36.5","88.17","20.9","0","0.68","66.59","0","0","0","34","97.99","2.01","21397","0.4298","-1.16618673690276","51250",36047026600,"56","-1.16618673690276","Uncluster"
11.4,18.82,23.15,27.45,14.67,3.58,0.93,278,27.7,0,72.3,1613.967972,3927,"4055","38.7","86.98","28.46","52.31","0","2.52","0","0.12","3.58","245","89.13","10.87","40502","0.5014","0.392082036602514","64401",36047026700,"115","0.392082036602514","Uncluster"
27.29,29.91,15.27,18.19,8.89,0.45,0,110,20,0,80,1435.381566,3960,"3965","43","78.26","40.43","0.08","0","37.4","0","0","0.35","109","94.96","5.04","24455","0.4871","-1.37283582934073","44517",36047026800,"86","-1.37283582934073","Uncluster"
10.71,23.42,18.13,26.19,20,0.9,0.65,202,68.32,7.92,23.76,1758.343057,3128,"3147","37.2","90.94","15.06","68.16","0","7.24","0","0","0.48","172","90.69","9.31","43536","0.5665","0.263525503867314","66534",36047026900,"191","0.263525503867314","Uncluster"
14.54,23.11,22.71,24.57,11.62,1.86,1.59,36,0,0,100,1273.083475,2139,"2139","41.2","90.79","59.98","0","0.79","29.59","0","0","0.42","43","96.17","3.83","26027","0.4688","-1.23021914266303","50775",36047027000,"48","-1.23021914266303","Uncluster"
13.36,20.97,26.53,24.57,10.36,3.55,0.65,189,24.34,13.76,61.9,1532.679739,3093,"3103","32.6","87.24","12.15","65.61","0","7.51","0","0.74","1.22","159","90.39","9.61","37417","0.5491","1.43487993963009","56136",36047027100,"167","1.43487993963009","Uncluster"
29.26,22.57,25.17,13.42,6.69,1.05,1.84,55,70.91,0,29.09,1405.231867,3755,"3755","38.7","67.35","33.98","0","0","33.21","0","0","0.16","127","93.27","6.73","24641","0.4543","-1.56937632895892","58477",36047027200,"56","-1.56937632895892","Uncluster"
11.22,28.28,25.22,21.08,12.98,0.78,0.43,120,39.17,0,60.83,1400.735294,3427,"3431","38.2","96.21","13.76","75.55","0","2.19","0","0","4.72","49","96.88","3.12","31413","0.4954","-0.0793403167803874","56786",36047027300,"135","-0.0793403167803874","Uncluster"
30.96,20.16,18.96,17.09,8.65,3.48,0.7,8,0,0,100,1516.049383,3543,"3602","36","82.65","36.65","0.83","0","39.39","0","4.97","0.81","69","96.09","3.91","29339","0.4613","-1.36691261945744","70625",36047027400,"55","-1.36691261945744","Uncluster"
7.82,26.59,22.33,24.99,16.07,1.74,0.46,252,42.46,0,57.54,1873.28,4401,"4438","34.8","92.97","15.93","66.58","0","6.24","0","0","4.21","95","96.2","3.8","43216","0.4452","-0.0584699538107852","82069",36047027500,"105","-0.0584699538107852","Uncluster"
33.08,25.59,14.74,18,8.29,0.31,0,98,0,0,100,1408.471276,3609,"3646","36.4","65.52","26.49","0.27","0","36.37","0","0","2.39","119","94.07","5.93","24534","0.4854","-1.58250974846175","53283",36047027600,"74","-1.58250974846175","Uncluster"
14.88,32.77,19.91,21.53,9.79,1.12,0,161,68.94,0,31.06,1430.780452,4580,"4582","35","87.89","11.52","71.8","0","0.96","0","0","3.6","272","88.22","11.78","26532","0.4779","-0.249932239570956","50290",36047027700,"211","-0.249932239570956","Uncluster"
22.87,23.07,20.01,24.86,6.38,1.04,1.78,9,0,0,100,1416.027875,3118,"3118","39.1","88.49","39.19","1.03","0","48.27","0","0","0","197","89.65","10.35","28625","0.4238","-1.27532507589284","57202",36047027800,"83","-1.27532507589284","Uncluster"
17.05,23.35,18.75,22.58,14.62,1.51,2.14,303,42.24,6.6,51.16,1586.500888,3658,"3660","33.9","90.85","14.59","69.75","0","1.17","0","0.36","4.97","100","95.27","4.73","36345","0.4724","1.02219692183456","64700",36047027900,"145","1.02219692183456","Uncluster"
25.32,25.55,18.67,18.9,9.75,0.38,1.44,50,44,0,56,1392.744479,1829,"1829","36.6","83.6","38.93","2.19","0","42.15","0","0","0.33","33","96.58","3.42","28842","0.3764","-1.24611064140307","75677",36047028000,"32","-1.24611064140307","Uncluster"
21.31,30.25,21.01,20.38,6.32,0.4,0.33,166,27.71,0,72.29,1125.664251,4755,"4764","29.1","72.27","13.1","50.76","0.19","3.09","0","0.46","4.68","218","91.01","8.99","23301","0.5471","1.20262830172954","31682",36047028100,"254","1.20262830172954","Uncluster"
22.38,29.25,18.21,18.25,8.84,2.31,0.76,63,0,0,100,1421.914008,3762,"3762","39","90.3","29.8","4.36","0","52.42","0","0.96","2.76","44","97.67","2.33","30056","0.4743","-0.798454510635682","67212",36047028200,"174","-0.798454510635682","Uncluster"
24.78,33.18,18.5,17.26,5.07,1.21,0,130,31.54,0,68.46,1204.37452,3675,"3863","30.9","63.37","15.69","44.34","0.41","1.89","0","0","1.04","286","82.78","17.22","16315","0.4971","0.713721152201401","29306",36047028300,"198","0.713721152201401","Uncluster"
19.29,29.94,16.54,25.62,7.86,0.75,0,166,24.7,29.52,45.78,1360.0377,3532,"3532","35.3","80.61","41.62","0.88","0","35.99","0","0","2.12","150","91.47","8.53","23636","0.3857","-1.22256065123262","61331",36047028400,"87","-1.22256065123262","Uncluster"
39.5,11.29,7.52,28.53,5.64,7.52,0,32,0,0,100,1835.245902,432,"454","34.8","38.77","22.47","5.07","0","11.23","0","0","0","19","93.4","6.6","27876","0.4041","1.01658004289888","87778",36047028501,"119","1.01658004289888","Uncluster"
32.28,35.12,25.77,5.22,1.6,0,0,51,0,0,100,692.2212619,3205,"3205","31.3","57.91","0","52.14","0","4.8","0","0","0.97","214","84.67","15.33","16553","0.4907","0.75333013781234","23899",36047028502,"143","0.75333013781234","Uncluster"
10.57,22.1,24.66,27.24,11.15,2.29,1.98,107,0,0,100,1396.455424,5110,"5110","37.1","82.54","47.01","1.64","0","23.84","0","0","10.06","141","94.46","5.54","21175","0.4482","-0.656832699674442","40325",36047028600,"124","-0.656832699674442","Uncluster"
15.36,35.38,19.2,21.23,7.68,1.16,0,18,0,0,100,1434.892788,3091,"3093","37.3","76.4","15.45","48.11","0.94","11.9","0","0","0","53","96.45","3.55","35288","0.591","1.74234999718292","40969",36047028700,"245","1.74234999718292","Cluster"
30.19,25.79,15.63,17.74,9.05,0.32,1.29,55,40,18.18,41.82,1312.335329,3792,"3836","37.4","71.27","36.08","0.5","0","33.58","0","0.63","0.5","59","97.01","2.99","23277","0.4341","-1.20711361402404","55625",36047028800,"87","-1.20711361402404","Uncluster"
20.48,32.65,26.61,13.32,6.94,0,0,231,44.16,7.79,48.05,1167.669903,3619,"3619","30.7","73.2","12.13","55.9","1.24","3.12","0","0","0.8","126","93.23","6.77","22459","0.4483","1.29488280732359","44313",36047028900,"191","1.29488280732359","Uncluster"
14.96,24.55,19.15,24.51,13.46,2.04,1.33,92,0,8.7,91.3,1292.003298,3580,"3580","39.5","91.93","61.2","0","0","24.89","0","0","5.84","21","98.69","1.31","28473","0.5076","-1.21257053097354","44318",36047029000,"125","-1.21257053097354","Uncluster"
11.6,25.79,25.26,23.28,12.63,1.44,0,254,34.25,0,65.75,1549.090909,2986,"2991","35.3","85.29","17.15","66.7","0","0.37","0","0","1.07","79","95.89","4.11","38993","0.478","0.833773325090491","80526",36047029100,"110","0.833773325090491","Uncluster"
25.29,21.87,19.51,22.22,7.04,2.66,1.41,56,23.21,0,76.79,1462.627551,3033,"3033","32.6","78.4","42.17","3.03","0","29.81","0","0","3.4","117","92.29","7.71","25365","0.4866","-0.798259405689312","49145",36047029200,"77","-0.798259405689312","Uncluster"
13.29,26.12,28.99,19.81,10.51,0.83,0.46,182,50.55,10.99,38.46,1097.476066,3437,"3437","34.2","78.35","11.49","57.87","2.36","5.41","0","0","1.22","297","84.52","15.48","32882","0.5611","0.089594213843747","42238",36047029300,"144","0.089594213843747","Uncluster"
27.91,30.41,21.62,12.42,5.56,0.83,1.25,33,0,0,100,1410.927835,2105,"2474","49.3","88.04","49.43","8.33","0","28.09","0","0","2.18","81","91.31","8.69","21061","0.4052","-0.972705023051821","57895",36047029400,"128","-0.972705023051821","Uncluster"
9.8,21.88,13.23,33.93,17.33,2.72,1.09,236,42.37,0,57.63,1480.380294,4160,"4160","34","92.43","22.19","61.47","0","4.86","0","0","3.92","99","95.92","4.08","41394","0.5273","-0.193769969081306","60881",36047029500,"77","-0.193769969081306","Uncluster"
15.84,19.62,21.03,29.97,13.07,0.45,0,35,0,0,100,1478.907331,5849,"5849","37.8","84.2","47.15","0.09","0","33.42","0","0","3.54","108","96.12","3.88","27567","0.4934","-1.34426695896786","56250",36047029600,"85","-1.34426695896786","Uncluster"
6.51,25.56,18.25,28.47,18.32,2.55,0.33,117,42.74,0,57.26,1771.682341,4220,"4253","37.3","95.13","15.57","74.32","0","1.32","0.4","0","3.53","31","98.66","1.34","45067","0.5258","0.0921470443205493","70556",36047029700,"195","0.0921470443205493","Uncluster"
19.6,34.58,18.68,19.08,5.73,1.15,1.18,30,0,0,100,1204.310345,3782,"3794","39","79.99","38.11","2","0","35.24","0","2.27","2.37","48","97.68","2.32","26317","0.4452","-1.42878680333894","55060",36047029800,"127","-1.42878680333894","Uncluster"
18.12,40.06,21.43,11.96,7.92,0.52,0,69,37.68,0,62.32,1295.219638,2762,"2941","35.2","74.63","6.49","64.33","0","2.18","0","0.17","1.46","59","95.39","4.61","21894","0.4537","1.55182261234986","50144",36047029900,"167","1.55182261234986","Uncluster"
25.84,30.74,17.21,18.54,6.61,1.06,0,67,0,0,100,1263.539446,4207,"4207","39.6","77.42","28.6","1.85","0.26","45.92","0","0","0.78","111","94.69","5.31","26799","0.5128","-1.36691261945744","52663",36047030000,"41","-1.36691261945744","Uncluster"
16.17,26.93,29.93,20.15,3.24,3.05,0.54,184,16.85,0,83.15,1441.615854,2953,"2963","36.5","84.31","6.58","77.08","0","0.64","0","0","0","163","87.84","12.16","27618","0.5571","1.48441570628427","49196",36047030100,"162","1.48441570628427","Uncluster"
21.56,29.94,17.2,23.41,6.5,1.14,0.25,41,0,0,100,1263.827305,4448,"4448","42.8","96.88","35.27","1.73","0","58.32","0","0.18","1.37","49","97.66","2.34","27493","0.4432","-1.28146731790679","65000",36047030200,"49","-1.28146731790679","Uncluster"
29.49,30.53,20.01,14.26,4.42,1.3,0,88,48.86,19.32,31.82,1000.955414,4827,"4914","34.4","76.19","1.99","72.06","0","0.55","0","0.53","1.06","211","90.14","9.86","23747","0.5203","1.65776778446561","38571",36047030300,"237","1.65776778446561","Cluster"
22.86,30.14,19.35,19.22,6.75,1.16,0.53,24,0,0,100,1162.658228,4182,"4189","42","85.75","36.95","2.55","0","39.05","0","0","7.19","121","93.3","6.7","25201","0.5008","-1.1253086633487","41017",36047030400,"107","-1.1253086633487","Uncluster"
9.91,12.68,13.06,38.96,21.69,3.69,0,212,43.87,0,56.13,1990.895849,6215,"6528","33.5","86","45.51","33.79","0","4.46","0","0.26","1.98","138","97","3","47412","0.4216","-0.203035592361607","85985",36047030500,"151","-0.203035592361607","Uncluster"
29.43,32.53,14.75,14.67,6.06,0.85,1.71,97,0,0,100,1290.136054,1724,"1736","46","85.48","37.67","0.4","0","45.05","0","1.32","1.04","85","89.65","10.35","26926","0.4757","-1.39615312365518","50833",36047030600,"52","-1.39615312365518","Uncluster"
