"X..Population.25.Years.and.Over..Less.than.High.School","X..Population.25.Years.and.Over..High.School.Graduate..Includes.Equivalency.","X..Population.25.Years.and.Over..Some.College","X..Population.25.Years.and.Over..Bachelor.s.Degree","X..Population.25.Years.and.Over..Master.s.Degree","X..Population.25.Years.and.Over..Professional.School.Degree","X..Population.25.Years.and.Over..Doctorate.Degree","Vacant.Housing.Units.","X..Vacant.Housing.Units..for.Rent","X..Vacant.Housing.Units..for.Sale.Only","X..Vacant.Housing.Units..Other.Vacant","Average.Gross.Rent.for.Renter.Occupied.Housing.Units","Population.for.Whom.Poverty.Status.Is.Determined","Total.Population","Median.Age.","X..Total.Population..Not.Hispanic.or.Latino","X..Total.Population..Not.Hispanic.or.Latino..White.Alone","X..Total.Population..Not.Hispanic.or.Latino..Black.or.African.American.Alone","X..Total.Population..Not.Hispanic.or.Latino..American.Indian.and.Alaska.Native.Alone","X..Total.Population..Not.Hispanic.or.Latino..Asian.Alone","X..Total.Population..Not.Hispanic.or.Latino..Native.Hawaiian.and.Other.Pacific.Islander.Alone","X..Total.Population..Not.Hispanic.or.Latino..Some.Other.Race.Alone","X..Total.Population..Not.Hispanic.or.Latino..Two.or.More.Races","Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Employed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","Per.Capita.Income..In.2019.Inflation.Adjusted.Dollars.","Gini.Index","LG.li","meidan_income","GEOID","counts","LG.li.1","spatial"
38.98,21.16,29.28,8.73,1.85,0,0,61,31.15,0,68.85,662.1912603,4209,"4401","29","45.13","6.68","34.76","0","2.57","0","0.43","0.68","227","82.78","17.22","12414","0.5381","1.32793538863203","17297",36005004400,"195","1.32793538863203","Uncluster"
34.41,30.04,23.88,9.3,1.57,0.8,0,57,0,0,100,1181.662782,4534,"4563","29.4","23.65","0.61","17.51","1.31","2.67","0","0","1.53","409","82.33","17.67","17096","0.4967","1.57649627280161","33403",36005004800,"184","1.57649627280161","Uncluster"
32.88,30.3,23.7,9.11,4.01,0,0,150,9.33,0,90.67,1192.097264,4431,"4604","32","28.15","0.91","24.41","1.19","1.04","0","0","0.59","316","84.17","15.83","16260","0.5387","0.550373529918878","27009",36005005001,"177","0.550373529918878","Uncluster"
39.38,25.77,19.44,11.47,3.95,0,0,97,59.79,0,40.21,1203.053435,5552,"5592","30.3","20.99","1.07","18.22","0.09","0.97","0","0","0.64","295","87.73","12.27","14733","0.4434","1.12798170996497","31795",36005005002,"167","1.12798170996497","Uncluster"
40.22,29.36,23.08,6.42,0.92,0,0,60,0,0,100,683.2484961,5728,"5737","29.2","30.99","0","30.4","0","0.59","0","0","0","248","88.53","11.47","10952","0.4277","7.82246469634002","19115",36005005100,"503","7.82246469634002","Cluster"
28.21,30.77,30.77,9.05,0.64,0,0.56,76,13.16,0,86.84,868.9480355,1956,"1956","32.2","26.89","0","25.82","0","0.41","0","0","0.66","17","97.98","2.02","19331","0.6076","1.87058754549627","21140",36005005200,"144","1.87058754549627","Cluster"
40.38,26.62,22.71,7.21,2.69,0.39,0,15,100,0,0,1058.718861,4867,"4888","23.4","51.62","1.15","49.08","0","0.14","0","0.35","0.9","365","73.12","26.88","9339","0.4938","0.150242723629965","16583",36005005300,"313","0.150242723629965","Uncluster"
42.66,30.1,23.79,1.97,1.12,0.36,0,297,0,13.13,86.87,1307.304965,5324,"5324","32.3","32.74","1.47","24.44","0","2.42","0","2.4","2.01","204","91.89","8.11","16316","0.4856","2.00932273239906","35189",36005005400,"425","2.00932273239906","Cluster"
34.41,31.68,17.27,13.04,3.04,0.56,0,157,5.1,5.1,89.81,1054.273504,2279,"2279","39.4","32.34","2.41","24.22","1.14","2.06","0","1.1","1.4","108","88.74","11.26","16659","0.5268","1.88306726376824","27153",36005005600,"125","1.88306726376824","Cluster"
23.07,25.63,28.94,12.4,8.16,0.44,1.36,23,0,0,100,1344.807468,2751,"2751","35.1","33.62","4.83","22.61","0","1.53","0","2.94","1.71","44","96.35","3.65","19517","0.5015","2.27777145013412","30844",36005005902,"36","2.27777145013412","Cluster"
36,23.1,24.57,11.55,4.79,0,0,45,0,0,100,1318.584071,1386,"1386","32","25.9","0.65","19.05","0","2.6","0","3.61","0","69","89.01","10.99","15467","0.4915","2.19327881913546","34898",36005006000,"88","2.19327881913546","Cluster"
12.12,27.13,28.7,22.67,7.54,1.83,0,201,74.13,25.87,0,1141.467181,3720,"3720","50.6","72.55","3.04","67.98","0","0.43","0","0","1.1","188","90.12","9.88","32501","0.4356","4.91013096811729","45361",36005006100,"121","4.91013096811729","Cluster"
47.78,26.02,14.62,10.03,1.52,0.03,0,134,15.67,0,84.33,788.124733,7233,"7233","27.8","38.82","1.62","34.4","0.75","2.05","0","0","0.01","570","82.14","17.86","11423","0.4921","1.63405665230913","25206",36005006200,"367","1.63405665230913","Uncluster"
27.04,24.05,24.09,19.15,4.84,0.41,0.41,101,54.46,0,45.54,1291.291975,4571,"4582","36.4","37.95","10.08","25.38","0","1.35","0","0.28","0.85","157","93.69","6.31","24266","0.5234","4.72515708624448","37306",36005006300,"944","4.72515708624448","Cluster"
36.04,36.28,14.68,9.17,3.75,0.08,0,114,0,0,100,1295.517928,3855,"3932","38.9","49.97","4.93","36.06","0","4.88","0","0.53","3.56","117","92.22","7.78","17827","0.4932","1.77393880995614","38415",36005006400,"231","1.77393880995614","Cluster"
33.74,34.23,16.4,12.72,2.21,0,0.7,125,24.8,0,75.2,1017.291667,5328,"5377","31.1","31.9","5.54","23.92","0","2.1","0","0.33","0","254","89.94","10.06","13532","0.488","6.03967209491739","25467",36005006500,"733","6.03967209491739","Cluster"
50.55,22.76,17.04,9.2,0.45,0,0,109,0,0,100,757.2525983,6705,"6705","31.4","25.16","0.27","23.92","0","0","0","0.69","0.28","283","90.2","9.8","28917","0.7502","5.34201674712297","19813",36005006700,"460","5.34201674712297","Cluster"
27.76,27.05,22.83,16.52,4.07,1.24,0.53,75,0,0,100,1466.624843,3230,"3230","31.4","41.21","0","26.13","1.67","12.88","0","0.34","0.19","126","91.66","8.34","20369","0.4254","1.6413970336171","54395",36005006800,"166","1.6413970336171","Uncluster"
29.44,23.21,30.14,9.87,5.17,2.16,0,15,100,0,0,1058.384615,7747,"7801","28.8","42.8","4.01","36.57","0.08","0.38","0","0","1.76","188","94.39","5.61","19928","0.5502","5.52296685646093","37590",36005006900,"295","5.52296685646093","Cluster"
30.65,30.11,24.78,9.68,4.24,0,0.54,122,13.11,0,86.89,1381.581582,4362,"4378","32.7","44.66","3.45","22.22","0","13.75","0","0.57","4.66","80","95.86","4.14","20516","0.4534","0.885967109386997","50500",36005007000,"204","0.885967109386997","Uncluster"
18.6,23.94,36.59,14.69,6.18,0,0,11,0,100,0,1042.410016,2732,"2795","34.1","37.39","1.86","31.77","0","2.47","0","1.07","0.21","77","94.44","5.56","23151","0.4638","6.92651376729745","42292",36005007100,"769","6.92651376729745","Cluster"
26.89,24.49,30.51,10.47,5.97,1.67,0,51,0,0,100,1200.317209,6211,"6255","32.8","57.14","5.96","11.32","0","33.86","0","0","6","266","90.34","9.66","17543","0.5097","1.03664125884862","43197",36005007200,"156","1.03664125884862","Uncluster"
40.74,28.37,24.03,3.72,3.13,0,0,71,77.46,0,22.54,1010.679612,4276,"4297","28.5","29.02","1.68","25.41","0","0","0","1.65","0.28","315","80.58","19.42","10721","0.4604","3.29757132779159","22344",36005007300,"355","3.29757132779159","Cluster"
21.15,28.91,35.35,11.34,2.26,0.51,0.47,93,56.99,0,43.01,1350.06435,3634,"3634","33.9","33.32","2.17","28.59","0","0","0","0.77","1.79","63","96.06","3.94","23585","0.4757","-0.320944272889125","39537",36005007400,"93","-0.320944272889125","Uncluster"
27.52,25.4,30.82,10.84,3.89,1.53,0,101,36.63,0,63.37,1010.783824,6681,"6692","30.3","38.48","0.91","35.25","1.36","0.75","0","0","0.21","279","89.99","10.01","15757","0.4972","5.5194646380022","30706",36005007500,"244","5.5194646380022","Cluster"
27.86,22.54,31.58,14.92,2.18,0.22,0.7,114,11.4,0,88.6,1342.945258,5266,"5311","33.1","35.32","3.92","20.79","0","9.41","0","0.56","0.64","281","89.1","10.9","18215","0.4437","1.23070943697437","46176",36005007600,"301","1.23070943697437","Uncluster"
36.17,27.92,21.91,10.22,3.18,0.6,0,29,0,0,100,1251.121076,2011,"2022","29.7","22.65","3.07","18.64","0","0.94","0","0","0","107","88.16","11.84","15281","0.4561","1.98902525868709","38417",36005007700,"127","1.98902525868709","Cluster"
33.25,24.83,25.12,13.08,3.1,0.27,0.34,87,0,0,100,1560.644803,7390,"7415","33.1","38.17","2.97","23.05","0","9.78","0","1.46","0.92","138","95.92","4.08","21802","0.4348","-0.0351444711507409","52360",36005007800,"196","-0.0351444711507409","Uncluster"
34.1,39.32,17.8,5.24,3.54,0,0,100,43,0,57,885.5840928,7163,"7188","26.7","30.12","0.14","27.27","0","0","1.53","0","1.18","400","84.77","15.23","13895","0.5257","2.06078479066375","26307",36005007900,"349","2.06078479066375","Cluster"
37.73,23.24,22.8,11.46,4.77,0,0,83,51.81,0,48.19,1060.192616,6706,"6713","30.9","19.28","2.01","14.3","0","2.16","0","0.22","0.58","508","84.59","15.41","16436","0.5102","2.58714236954165","32167",36005008300,"177","2.58714236954165","Cluster"
18.78,22.15,40.61,11.24,5.97,0.76,0.49,40,77.5,0,22.5,1349.748744,2878,"2899","33.3","38.46","2.24","25.63","2.31","7.66","0","0","0.62","64","95.27","4.73","24487","0.3184","0.418072214936254","85750",36005008400,"32","0.418072214936254","Uncluster"
27.12,31.68,24.76,12.47,3.47,0.5,0,45,51.11,33.33,15.56,1040.696951,5349,"5631","33.1","30.65","1.17","26.71","0","0.3","0","1.7","0.76","346","85.09","14.91","20740","0.5682","3.02320804642083","31370",36005008500,"185","3.02320804642083","Cluster"
39.28,37.17,15.07,6.14,2.33,0,0,22,0,0,100,705.8122206,3833,"3936","29.4","53.48","1.65","49.95","0","0.56","0","0","1.32","89","93.77","6.23","18374","0.6518","0.592322727352392","21848",36005008600,"198","0.592322727352392","Uncluster"
33.75,28.41,26.99,9.12,1.72,0,0,75,0,0,100,976.973027,5968,"6127","32","25.8","1.89","21.5","0.95","0.55","0","0.24","0.67","341","86.43","13.57","13009","0.5124","2.3862661972244","23967",36005008700,"311","2.3862661972244","Cluster"
25.85,32.78,24.86,13.44,3.07,0,0,113,25.66,0,74.34,884.6872082,3215,"3218","32.9","24.77","1.49","23.28","0","0","0","0","0","83","93.45","6.55","16556","0.4645","3.44217962695344","28642",36005008900,"375","3.44217962695344","Cluster"
34.68,31.27,23.55,7.77,0.44,2.3,0,41,46.34,0,53.66,689.456869,3434,"3459","32.2","27.78","1.59","22.12","0.58","2.17","0","0.4","0.93","73","93","7","15444","0.5489","0.256270337522294","24487",36005009000,"433","0.256270337522294","Uncluster"
21.98,34.19,24.3,14.45,3.96,1.12,0,134,13.43,0,86.57,1441.907514,5820,"5848","35","44.63","4.41","12.67","0","15.48","0","6.36","5.71","338","89.19","10.81","23626","0.5149","0.265387279130859","50176",36005009200,"188","0.265387279130859","Uncluster"
36.33,29.11,21.54,8.48,3.83,0,0.7,191,8.9,0,91.1,1224.677716,5461,"6154","31.6","33.86","2.26","31.09","0.19","0.19","0","0","0.13","228","89.69","10.31","15068","0.5192","2.83788286709298","32852",36005009300,"526","2.83788286709298","Cluster"
